Loading config from configs\gamecfg134.json
Loading neural network from nn\nn_134.pkl
Starting client
Connecting to host 'localhost' port 8134
Connected successfully
joined the game successfully
Side: Blue
2 1
1 2
3 1
2 2
3 2
2 3
1 2
3 1
4 2
3 3
4 3
3 4
2 3
4 4
3 5
2 4
4 5
3 6
2 5
4 6
3 7
2 6
4 7
3 8
2 7
4 8
3 9
2 8
4 9
3 10
2 9
4 10
3 11
2 10
4 11
3 12
2 11
4 12
3 13
2 12
4 13
3 14
2 13
4 14
3 15
2 14
4 15
3 16
2 15
4 16
3 17
2 16
4 17
3 18
2 17
4 18
3 19
2 18
4 19
2 19
4 18
5 19
5 18
6 19
5 17
6 18
4 18
6 17
7 18
6 19
6 16
7 17
5 17
7 16
8 17
7 18
7 15
8 16
6 16
8 15
9 16
8 17
8 14
9 15
7 15
Winner side: Blue
Details:
  Scores:
    Blue -> 29
    Yellow -> -19
